familiar,mode,lci,uci,age_of_acquisition
apple,0.9983891209475828,0.7740617696654806,0.9999999999836093,3.781748484848485
bread,0.9966350881071705,0.6417404186318133,0.9999999999954896,3.7480505376344087
carrot,0.9980703972995156,0.5622549362031883,0.999999999999952,3.0528121212121215
corkscrew,0.0019729425915456233,3.771588934849059e-9,0.11655622796094627,8.05355
duck,0.9964710239973821,0.7901020296988874,0.9999999701921276,3.5282806451612907
hanger,0.01808749804033591,8.173289806476102e-6,0.9161678970977939,6.933442424242424
lock,0.025647189450466998,3.9765230886322967e-7,0.9052010107101556,6.033004166666667
mic,0.9872184879688511,0.0643586016333819,0.9999999987982293,6.25
opener,0.0046782581646284595,1.6300269788730628e-6,0.4274531597574891,7.17
pincer,0.9973947099224956,0.4942234947900747,0.9999999999446334,10.85
rasp,0.0035705029333005164,2.9520856919907566e-8,0.2672539125937046,11.820483870967742
sieve,0.015273368198903643,2.573085651464629e-7,0.8257761314250013,12.540265625
thermo,0.4329982287912961,0.05161231789202481,0.9999999994548874,7.19505
top,0.9922012234804404,0.3407377114431046,0.9999999978244001,3.8676970833333337
tweezers,0.0035818019362937516,6.773963847095197e-7,0.37340470399250314,7.16
wrench,0.005551665453122811,1.9006050277683474e-8,0.5349632771122369,8.1114296875
